还是	h;	2
出来	c;	2
但是	d;	2
发现	f;	2
工作	g;	2
不是	b;	2
自己	z;	2
一个	y;	2
现在	x;	2
我们	w;	2
这个	v;	2
他们	t;	2
什么	s;	2
如果	r;	2
起来	q;	2
朋友	p_
尼	nvu
继	jxo
送	smo
急	jsoa
血	xde
惊	jho
伤	sku
素	soa
药	yta
适	sfoa
波	be
夜	yli
省	sti
初	cj
喜	xyo
卫	wc
源	yeeu
食	sko
险	xci
待	dgi
述	sdoa
陆	lce
习	xz
置	vwe
居	jve
劳	lta
财	cw
环	ho
排	pui
福	fje
纳	nx
欢	hz
雷	lyi
警	jto
获	htu
模	md
充	clua
负	fsi
云	yoa
停	tko
木	mdo
游	yeo
龙	lpo
树	sda
疑	ysao
层	cv
冷	llio
洲	veou
冲	cli
射	sde
略	lwua
范	ft
竟	jlua
句	jsoi
室	she
异	yve
激	jeu
汉	hea
村	cde
哈	hni
策	cfe
演	yeoo
简	jf
卡	kr
罪	zwi
判	pmi
担	duu
州	vmi
静	jou
退	tv
既	jvea
衣	yloo
您	nko
宗	zhe
积	jfo
余	yke
痛	tl
检	jdi
差	cme
富	fh
灵	lv
协	xia
角	jsu
占	vro
配	pi
征	vge
修	xkua
皮	pb
挥	huoa
胜	sru
降	jcu
阶	jci
审	shi
沉	ce
坚	jei
善	smoi
妈	mb
刘	llii
读	dj
啊	rn
超	cya
免	msi
压	ypi
银	yca
买	ma
皇	hd
养	ymu
伊	yka
怀	hhe
执	vuua
副	fei
乱	lfa
抗	ku
犯	fsa
追	vd
帮	boi
宣	xhe
佛	fk
岁	swu
航	hgo
优	ykeu
怪	gha
香	xfui
著	vt
田	twe
铁	tc
控	kuo
税	sfou
左	zp
右	ypoi
份	fku
穿	che
艺	ytaa
背	bru
阵	vc
草	ct
脚	jr
概	gdae
恶	ri
块	ky
顿	dueu
敢	gvu
守	shei
酒	jeei
岛	dsia
央	ywo
托	tuue
户	hju
烈	lpoo
洋	yeou
哥	gie
索	siaa
胡	hiu
款	kyu
靠	kfi
评	pj
版	bduu
宝	bh
座	zli
释	saa
景	jgo
顾	gpe
弟	dma
登	dze
货	hki
互	hue
付	fke
伯	bku
慢	mhu
欧	ruu
换	huu
闻	wke
危	wsaa
忙	mho
核	hdo
暗	rgo
姐	jbi
介	jkui
坏	hy
讨	tje
丽	lei
良	ljo
序	xla
升	sfii
监	jeia
临	leu
亮	llua
露	lyo
永	yjo
呼	hnu
味	wne
野	ywao
架	jbu
域	yye
沙	sei
掉	dui
括	kuu
舰	jgi
鱼	ysi
杂	zs
误	wj
湾	we
吉	jyo
减	jle
编	bx
楚	cda
肯	kru
测	cei
败	bw
屋	wv
跑	pnu
梦	mdu
散	siue
温	weu
困	knu
剑	jkii
渐	jeea
封	fy
救	jiu
贵	gwia
枪	qdi
缺	qfa
楼	ldo
县	xw
尚	sq
毫	hl
移	yf
娘	nbo
朋	pr
画	hei
班	boo
智	vfu
亦	yloo;	2
耳	rie
恩	rno
短	dfe
掌	vq
恐	kio
遗	ywoa
固	gne
席	xli
松	sdu
秘	mfo
谢	xju
鲁	lsu
遇	ywoao
康	kla
虑	lro
幸	xyou
均	jyu
销	xcio
钟	vci
诗	sjiue
藏	cte
赶	gy
剧	jvi
票	pie
损	suo
忽	hs
巨	juae
炮	pmu
旧	jiui
端	dlia
探	tuo
湖	heei
录	lve
叶	yne
春	co
乡	xxu
附	fci
吸	xnu
予	yzi
礼	lja
港	ge
雨	yio
呀	ynea
板	bduua
庭	tlu
妇	fba
归	gt
睛	jwe
饭	fsu
额	rhe
含	hko
顺	sdeu
输	sui
摇	yuuo
招	vua
婚	hbu
脱	tr
补	bji
谓	wji
督	dri
毒	doa
油	yei
疗	llai
旅	llue
泽	ze
材	cdei
灭	meo
逐	vp
莫	mt
笔	bf
亡	wla
鲜	xso
词	cja
圣	szi
择	zu
寻	xv
厂	cpu
睡	swue
博	bie
勒	lia
烟	ymo
授	suu
诺	nja
伦	lki
岸	rw
奥	rd
唐	tla
卖	mio
俄	rku
炸	vmu
载	zie
洛	leua
健	jkaea
堂	tq
旁	pl
宫	gho
喝	hnui
借	jke
君	jvoi
禁	jde
阴	ycua
园	ynee
谋	mj
宋	shu
避	bv
抓	vuuu
荣	rtu
姑	gb
孙	sci
逃	ta
牙	yuuu
束	sioo
跳	tnuo
顶	die
玉	yooo
镇	vce
雪	xya
午	wfe
练	lx
爷	ya
迫	pdo
篇	pf
肉	rwi
嘴	zni
馆	gso
遍	bjoa
凡	fso
础	cpai
洞	de
卷	jma
坦	tyu
牛	nfi
宁	nh
纸	vxu
诸	vjei
训	xjui
私	sfa
庄	vliu
祖	zj
丝	sxe
翻	faa
暴	bge
森	sduu
塔	tya
默	mwe
握	wua
戏	xze
隐	ycuao
熟	slo
骨	gwu
访	fjo
弱	rv
蒙	mte
歌	giua
店	dlie
鬼	gdao
软	ruua
典	dwu
欲	yau
萨	stai
伙	hkou
遭	zio
盘	pg
爸	baa
扩	kuoe
盖	gmi
弄	no
雄	xp
稳	wfu
忘	wlo
亿	ykaa
刺	cii
拥	yuua
徒	tgi
姆	mba
杨	yda
齐	qlu
赛	shia
趣	qye
曲	qwe
刀	db
床	cluu
迎	yso
冰	bleo
虚	xri
玩	woee
析	xdu
窗	chu
醒	xiu
妻	quau
透	tfo
购	gwua
替	tou
塞	shiu
努	nba
休	xkuu
虎	hr
扬	yua
途	tkoa
侵	qka
刑	xoii
绿	lxa
兄	xnua
迅	xvo
套	tpe
贸	msia
毕	bue
唯	wni
谷	gao
轮	lui
库	kle
迹	jloa
尤	ypoo
竞	jloi
街	jgiu
促	cko
延	ydao
震	vye
弃	qle
甲	jwii
伟	wkee
麻	ml
川	cdi
申	swii
缓	hxu
潜	qee
闪	ski
售	skoi
灯	dme
针	vcei
哲	vuo
络	lxu
抵	duua
朱	vfo
埃	ry
抱	buu
鼓	gye
植	vde
纯	cx
夏	xpu
忍	rbo
页	ypia
杰	jdo
筑	vfei
折	vuuui
郑	vma
贝	bwi
尊	zme
吴	wnee
秀	xfa
混	heui
臣	cuia
雅	yui
振	vueu
染	re
盛	spi
怒	nboa
舞	wfua
圆	yno
搞	gu
狂	ks
措	cue
姓	xb
残	cpe
秋	qfo
培	pyo
迷	mmoa
诚	cje
宽	kha
宇	yh
猛	msa
摆	bui
梅	mdue
毁	hdu
伸	skia
摩	mlu
盟	mgi
末	mo
乃	nbu
悲	bro
拍	puu
丁	diii
赵	vyu
硬	ypei
麦	mou
蒋	jtoe
操	cuo
耶	yia
阻	zci
订	dje
彩	cau
抽	cuiae
赞	zfi
魔	mlui
纷	fx
沿	yeu
喊	hneu
违	wooa
妹	mbe
浪	leo
汇	heea
币	bdi
丰	foi
蓝	lti
殊	spu
献	xieu
桌	vru
啦	lne
瓦	wuo
莱	lte
援	yuuoe
译	yja
夺	dpe
汽	qeu
烧	sme
距	jne
裁	cio
偏	pk
符	ffi
勇	yza
触	csi
课	kj
敬	jtu
哭	kne
懂	dha
墙	qyei
召	vb
袭	xpo
罚	fw
侠	xke
厅	tpei
拜	buee
巧	qie
侧	ckia
韩	hie
冒	mwi
债	vkee
曼	mgia
融	rii
惯	ghaa
享	xlo
戴	diia
童	tli
犹	yse
乘	cfi
挂	gui
奖	jleu
绍	sxa
厚	hpu
纵	zxi
障	vco
讯	xja
涉	seie
彻	cge
刊	koi
丈	vpo
爆	bmu
乌	wse
役	ygua
描	mu
洗	xeu
玛	moa
患	hwo
妙	mbi
镜	jco
唱	cnu
烦	fm
签	qfio
仙	xki
彼	bga
弗	fvi
症	vlei
仿	fko
倾	qke
牌	pdu
陷	xcu
鸟	ns
轰	hua
咱	znu
菜	ctu
闭	bkei
奋	fpi
庆	qleu
撤	cuoe
泪	leia
茶	cti
疾	jlue
缘	yxa
播	buuo
朗	lju
杜	ddi
奶	nbau
季	jfa
丹	dse
狗	gsua
尾	wvu
仪	yko
偷	tki
奔	bpe
珠	vou
虫	cwo
驻	vxoe
孔	kc
宜	yhi
艾	rtuo
桥	qdu
淡	deo
翼	yzia
恨	hha
繁	ffa
寒	hho
伴	bko
叹	tna
旦	dgee
愈	ykoa
潮	cee
粮	lmoa
缩	sxo
罢	bwiu
聚	jiuio
径	jga
恰	qhi
挑	tuuo
袋	dko
灰	hpo
捕	buei
徐	xgie
珍	voi
幕	mti
映	ygi
裂	lpoe
泰	toe
隔	gc
启	qjo
尖	jte
忠	vwo
累	lwa
炎	ymou
暂	zuu
估	gkei
泛	feu
荒	hto
偿	ckio
横	hde
拒	juea
瑞	roi
忆	yha
孤	gcu
鼻	bdia
闹	nkoe
羊	ymii
呆	dn
厉	lpe
衡	hgu
胞	brua
零	lyio
穷	qha
舍	skee
码	mpa
赫	hyi
婆	pea
魂	hou
灾	zho
洪	heeiu
腿	tra
胆	dru
津	jeae
俗	skuo
辩	blo
胸	xru
晓	xgea
劲	jz
仁	rke
贫	pa
偶	rki
辑	juoi
邦	boa
恢	hheu
赖	liu
圈	qno
摸	mua
仰	yku
润	reo
堆	dyi
碰	ppo
艇	tgu
稍	sfio
迟	cvo
辆	lue
废	fla
净	jluaa
凶	xaa
署	swe
壁	bvi
御	ygue
奉	foe
旋	xlue
冬	dso
矿	kp
抬	tua
蛋	dci
晨	cgeu
伏	fkeu
吹	cnua
鸡	jzu
倍	bkoe
糊	hme
秦	qou
盾	dgei
杯	bdeu
租	zfia
骑	qx
乏	fao
隆	lcu
诊	vji
奴	nbao
摄	suei
丧	sioo;	2
污	wee
渡	deoe
旗	qlue
甘	giee
耐	np
凭	pku
扎	vuaa
抢	qui
绪	xxei
粗	cmi
肩	jju
梁	leuu
幻	hxa
菲	fti
皆	juu
碎	spoe
宙	vhi
叔	sra
岩	ywe
荡	dt
综	zxo
爬	pga
荷	hti
悉	xao
蒂	dto
返	fgo
井	joii
壮	vliue
薄	bt
悄	qhio
扫	suae
敏	mfu
碍	rpu
殖	vpe
详	xjo
迪	dwo
矛	mz
霍	hyio
允	yzu
幅	fwe
撒	sueiu
剩	sfiii
凯	kw
颗	kwe
骂	mna
赏	sqi
液	yeoe
番	fai
箱	xfuu
贴	twi
漫	meu
酸	siao
郎	ljai
腰	yre
舒	skao
眉	mc
忧	yhe
浮	feuo
辛	xle
恋	llo
餐	cri
吓	xne
励	lpa
辞	cfoe
艘	sgui
键	jca
伍	wkei
峰	fwu
尺	cvoo
昨	zgu
黎	lfi
辈	bre
贯	gxi
侦	vkie
滑	heia
券	qma
崇	cwoo
扰	rue
宪	xhue
绕	rx
趋	qyu
慈	cmo
乔	qfu
阅	ykou
汗	heee
枝	vdei
拖	tuuea
墨	mwiu
胁	xra
插	cuu
箭	jfou
腊	lre
泥	ne
粉	fmu
氏	ssa
彭	pyu
拔	bueu
骗	px
凤	fsao
慧	hoo
媒	mbei
佩	pkua
愤	fhe
扑	puio
龄	lri
驱	qxe
惜	xhei
掩	yue
豪	hle
兼	jmo
跃	ynu
尸	svuu
肃	svo
帕	pw
驶	sxi
堡	bki
届	jvia
欣	xgua
惠	hio
册	cse
储	ckoa
飘	piu
桑	szu
闲	xkuuo
惨	cha
洁	jeiu
踪	zno
勃	bia
宾	bhu
频	pre
仇	cku
磨	mle
递	dmo
邪	xua
撞	vuoe
拟	nu
滚	geo
奏	zoe
巡	xxo
颜	yleu
剂	jli
绩	jxe
贡	giia
疯	flu
坡	pya
瞧	qwi
截	jiio
燃	rmu
焦	jkoo
殿	dvu
伪	wkou
柳	ldu
锁	scio
逼	bio
颇	pbe
昏	hsu
呈	cne
搜	suui
勤	qiau
戒	jueu
驾	jba
漂	pee
饮	ysu
曹	ciui
朵	dsu
仔	zka
柔	rz
俩	lkei
孟	mci
腐	flia
幼	yxau
践	jnee
籍	jfe
牧	mfue
凉	lloe
牲	sfu
佳	jkiu
娜	nbae
浓	neo
芳	fto
稿	gfoe
竹	vfue
腹	fru
跌	dnu
逻	lwo
垂	cfee
遵	zmo
脉	mr
貌	mau
柏	bdui
狱	ysoa
猜	csee
怜	lh
惑	huoao
陶	tcu
兽	smeo
帐	vwu
饰	ssu
贷	dki
昌	cgu
叙	xka
躺	td
钢	gci
沟	geu
寄	jheu
扶	fu
铺	pc
邓	dza
寿	soe
惧	jhi
询	xjua
汤	te
盗	dliae
肥	frai
尝	cqe
匆	cso
辉	hq
奈	npe
扣	kuoi
廷	tfa
澳	reu
嘛	mno
董	dtu
迁	qfoa
凝	nl
慰	wvo
厌	ypeu
脏	zr
腾	tro
幽	ywaa
怨	ysoao
鞋	xii
丢	dfa
埋	my
泉	qde
涌	yea
辖	xuo
躲	ddu
晋	jiuie
紫	zra
艰	jza
魏	wfui
吾	wio
慌	hhau
祝	vjo
邮	ywai
吐	tni
狠	hsa
鉴	jeie
曰	yge
械	xdea
咬	ynoe
邻	lka
赤	cyu
挤	juoe
弯	wlae
椅	yde
陪	pco
割	ghi
揭	juui
韦	woii
悟	whe
聪	ciou
雾	wy
锋	fcu
梯	tdo
祥	xjou
猫	msau
阔	kk
誉	yho
筹	cfeee
丛	cke
牵	qpu
鸣	mnu
沈	seoa
阁	gku
穆	mfui
屈	qva
旨	vsu
袖	xji
猎	lse
臂	bvu
蛇	swoou
贺	hbi
柱	vdo
抛	puua
鼠	sdao
瑟	soo
戈	guo
牢	lhu
逊	xco
迈	muo
欺	qiua
吨	dne
琴	qoi
衰	slia
瓶	pme
恼	nho
燕	yioi
仲	vkia
诱	yju
狼	lsoa
池	cea
疼	tlua
卢	lra
仗	vkeu
冠	gje
粒	lmoe
遥	yao
吕	lno
玄	xlaa
尘	ctiu
冯	flaa
抚	fue
浅	qeee
敦	dlue
纠	jxai
钻	zcie
晶	jgu
岂	qwa
峡	xwe
苍	ctia
喷	pne
耗	houe
凌	lliu
敲	qli
菌	jtoi
赔	pwo
涂	tei
粹	cmoe
扁	bjia
亏	koa
寂	jhie
煤	mme
熊	xzo
恭	giio
湿	seu
循	xguu
暖	ng
糖	tmo
赋	fwee
抑	yuuaa
秩	vfueo
帽	mwia
哀	rl
宿	shie
踏	tneo
烂	lmou
袁	yyo
侯	hkae
抖	duoo
夹	jyoo
昆	kg
肝	gre
擦	cuoo
猪	vse
炼	lmea
恒	hheui
慎	sheiu
搬	buuu
纽	nxa
纹	wxo
玻	boau
渔	yeua
磁	cpo
铜	tci
齿	cria
跨	kneu
押	yuia
怖	bhe
漠	meau
疲	pla
叛	pmuu
遣	qwo
兹	zma
祭	jse
醉	zioe
拳	qmu
弥	mvu
斜	xko
档	ddio
稀	xfuo
捷	jueao
肤	fre
肿	vri
疫	yluaa
豆	deoi
削	xq
岗	gwiau
晃	hgi
吞	too
宏	hheua
癌	rlo
肚	driu
隶	lvo
履	lvu
涨	vea
耀	yq
扭	nua
坛	tye
沃	weue
拨	buau
绘	hxi
伐	fkea
堪	kye
仆	pki
郭	gla
牺	xfe
歼	jp
墓	mtiu
雇	gji
廉	llou
契	qoeu
拼	puo
惩	cgo
捉	vuoi
覆	fi
刷	svi
劫	jya
嫌	xbo
瓜	gg
歇	xguai
雕	dsio
闷	mkoa
乳	raa
串	cwi
娃	wb
缴	jxui
唤	hnua
赢	ylia
莲	ltea
桃	tdu
霸	by
妥	taa
瘦	slui
搭	dua
赴	fyi
岳	ydi
嘉	jyau
舱	cgi
俊	jkao
址	vyi
庞	ple
耕	goe
锐	rco
缝	fxu
悔	hhu
邀	ydo
玲	loi
惟	whi
斥	cgoo
宅	vhu
添	tee
挖	wuoo
呵	hnei
讼	sjuo
氧	yfo
浩	heue
羽	yzao
斤	jgii
酷	kiu
掠	luo
妖	ybu
祸	hjo
侍	skiu
乙	yaa
妨	fbo
贪	tkia
挣	vuuaa
汪	weee
尿	nve
莉	ltu
悬	xwo
唇	cpoi
翰	hii
仓	cka
轨	guu
枚	mdueo
盐	yyi
览	leiau
傅	fkei
帅	stia
庙	mli
芬	ftu
屏	pv
寺	syei
胖	pro
璃	loo
愚	ywoao;	2
滴	deoei
疏	sco
萧	xta
姿	zla
颤	cle
丑	ccee
劣	ltau
柯	kd
寸	cioo
扔	rua
盯	dwe
辱	rpe
匹	puuaa
俱	jkia
辨	blou
饿	rsu
蜂	fwua
哦	rnu
腔	qr
郁	ypai
溃	ke
谨	jjei
糟	zmei
葛	gtu
苗	mtia
肠	cra
忌	jvoa
溜	leuai
鸿	heeiua
爵	jaa
鹏	pru
鹰	yluae
笼	lfe
丘	qdee
桂	gdi
滋	zeo
聊	liua
挡	duio
纲	gxia
肌	jru
茨	cto
壳	kyua
痕	hla
碗	wpo
穴	xhuoo
膀	broe
卓	vrei
贤	xei
卧	wii
膜	mra
毅	yluaao
欠	qs
锦	jcui
哩	lni
函	hca
茫	mteo
昂	rgu
薛	xtu
皱	vsa
夸	kpe
豫	yzua
胃	wwu
舌	sfoi
剥	bvii
傲	rkee
拾	suio
窝	who
睁	vwua
携	xui
陵	lci
哼	hno
棉	mdui
晴	qg
铃	lcio
填	tyei
饲	ssae
吻	wnu
渴	keu
扮	buuoa
逆	nm
脆	cru
喘	cni
罩	vwi
卜	bq
炉	lmoau
柴	cruu
愉	yhiu
胎	trao
绳	sxoi
蓄	xto
眠	mwa
竭	jlui
喂	wnia
傻	skui
慕	mtio
浑	heo
奸	jbe
扇	sja
柜	gde
悦	yhou
拦	luou
诞	dju
饱	bsu
乾	qiue
泡	peu
贼	zwe
亭	tle
夕	xsoo
爹	da
酬	cioui
儒	rkeo
姻	ybo
卵	lsa
氛	ffu
泄	xee
杆	gdee
挨	ruao
僧	skou
蜜	mhi
吟	ynio
猩	xsu
遂	smoa
狭	xse
肖	xqu
甜	tfe
霞	xyae
驳	bxu
裕	yjuo
顽	woeu
於	ylio
摘	vuoei
矮	rf
秒	mfi
卿	qsa
畜	clia
咽	ynoi
披	pua
辅	fuei
勾	gsa
盆	pai
疆	jvei
赌	dwei
塑	smi
畏	wwe
吵	cniu
囊	nio
嗯	rnoi
泊	beu
肺	frei
骤	vxe
缠	cxo
冈	gwuo
羞	xma
瞪	dwa
吊	dni
贾	jiia
漏	lea
斑	booe
涛	teee
悠	ykoao
鹿	lle
俘	fkuo
锡	xcui
卑	bdei
葬	zt
铭	mcu
滩	tea
嫁	jboo
催	ckiai
璇	xoo
翅	cia
盒	hkia
蛮	mlia
矣	yzue
潘	peuo
歧	qre
赐	cwu
锅	gco
鲍	bsua
廊	lloa
拆	cuuu
灌	gea
勉	msauu
盲	mliae
宰	zhoe
佐	zke
啥	sni
胀	vrue
扯	cuie
禧	xjiu
辽	lco
抹	mue
筒	tfi
棋	qdei
裤	kjo
唉	rna
朴	pdi
咐	fn
孕	yba
誓	suoe
喉	hnia
妄	wlau
拘	juua
链	lcea
驰	cxa
栏	ldou
逝	suoa
窃	qhe
艳	youa
纤	xxue
臭	cdeu
玑	joua
棵	kdi
趁	cyi
匠	juuu
盈	ybi
翁	wa
愁	cfoa
瞬	swuo
婴	ywau
孝	xiai
颈	jze
倘	tkio
浙	vee
谅	ljoe
蔽	bto
畅	cwa
赠	zwo
妮	nbaeu
莎	steo
尉	wve
冻	dle
跪	gnu
闯	ckaa
葡	pt
後	hga
鸭	ywu
厨	cpei
颠	dieu
遮	vloa
谊	yjoo
圳	vyui
吁	xnee
仑	lku
辟	pvo
瘤	lluai
嫂	sbu
陀	tco
框	kde
谭	tjei
亨	hlo
钦	qcu
庸	yla
歉	qmua
芝	vto
吼	hna
甫	fio
衫	sjuuu
宴	yhu
摊	tuao
嘱	vna
衷	vlia
娇	jbue
陕	sceo
矩	jfea
浦	peei
讶	yjea
耸	skei
裸	lji
碧	boe
摧	cuiai
薪	xtoe
淋	leuuu
耻	ciie
胶	jro
屠	tve
鹅	rfu
饥	jsua
盼	pwu
脖	brei
虹	hwe
翠	czo
崩	bwu
账	vwue
萍	pte
逢	fsoa
赚	vwou
撑	cuio
翔	xmao
倡	ckui
绵	mxu
枯	kdei
猴	hsi
巫	wiii
昭	vga
怔	vhe
渊	yeuo
凑	clee
溪	xeuo
蠢	coi
禅	cjo
阐	ckou
旺	wge
寓	yhia
藤	tt
伞	skoui
匪	fui
碑	bpui
挪	nuae
琼	qoo
脂	vrua
谎	hja
慨	khae
菩	pto
萄	ttu
狮	ssi
掘	juaea
抄	cuiu
岭	lwi
晕	ygea
砍	kpu
逮	dvoa
掏	tuua
狄	dsou
晰	xguuu
罕	hje
挽	wuu
脾	prui
舟	vgoo
痴	clue
蔡	ctua
剪	jmau
脊	jluae
弓	gva
懒	lhe
叉	czoo
拐	guoi
喃	nne
僚	lkeu
捐	juoiu
姊	zbu
骚	sxao
拓	tue
