并	b_
幢	io;
置	ioa
帐	ioe
帜	ioo
则	iou
忠	iov
助	ioz
舟	iq;
爪	iqo
卮	iqv
照	ir;
皂	ira
昨	ire
追	irv
昭	irz
轸	is/
辙	is;
姊	isa
致	ise
暂	iso
臻	isu
辗	isv
赞	it/
造	it;
筑	ita
竹	ite
智	ito
制	itu
筝	itz
增	iu/
赵	iu;
圳	iue
址	iuu
志	iuv
朕	iv/
障	iv;
阵	iva
胀	ive
阻	ivo
坠	ivu
脂	ivz
炙	iw/
詹	iw;
杂	iwa
旨	iwo
猪	iwu
争	iwv
皱	iwz
纵	ix/
综	ix;
骤	ixa
缴	ixe
织	ixo
纣	ixu
缀	ixv
纸	ixz
镞	iy;
止	iya
锥	iye
钟	iyo
针	iyu
紫	iyv
铮	iyz
召	izo
厥	ja/
碱	jaa
歼	jae
碣	jao
劂	jau
厩	jav
矶	jaz
尽	jb;
既	jba
屐	jbe
局	jbo
居	jbu
建	jbv
检	jc/
杰	jc;
楷	jca
槿	jce
楫	jco
禁	jcu
橘	jcv
济	jd;
渐	jda
激	jde
溅	jdo
洁	jdu
津	jdv
汲	jdz
芥	je/
警	je;
荐	jea
敬	jee
菌	jeo
荆	jeu
茎	jev
菊	jez
柬	jf;
救	jfe
晋	jfo
基	jfu
鞠	jfz
井	jge
靓	jgo
击	jgu
珺	jgv
静	jgz
迹	jh;
减	jha
疾	jhe
竟	jho
京	jhu
郊	jhv
净	jhz
嚼	ji/
跤	ji;
距	jia
啾	jie
旧	jio
践	jiu
唧	jiv
鹃	jiz
价	jj/
仅	jj;
集	jja
介	jje
俱	jjo
剑	jju
假	jjv
隽	jjz
捡	jk/
挤	jk;
拒	jka
揪	jke
揭	jko
技	jku
径	jkv
拘	jkz
矜	jl/
鸡	jle
肩	jlo
讲	jlu
艰	jlv
劲	jlz
兼	jm;
炬	jma
爵	jmo
卷	jmv
剪	jmz
惓	jn/
惊	jn;
寄	jna
窖	jne
惧	jno
寂	jnu
窘	jnv
究	jnz
睑	jo/
蛟	jo;
贱	joa
界	joe
甲	jou
睛	jov
岌	joz
舰	jqo
斤	jqu
炅	jr/
景	jr;
臼	jra
晶	jro
舅	jrz
妗	js/
嫁	js;
戒	jsa
皆	jse
姐	jso
妓	jsu
巨	jsv
积	jt/
稼	jt;
矩	jta
矫	jte
简	jto
籍	jtu
季	jtv
笈	jtz
鉴	ju/
境	ju;
颉	jue
监	juo
坚	juu
紧	juv
均	juz
阶	jv/
胶	jv;
亟	jva
胛	jvo
际	jvu
脚	jvv
降	jvz
灸	jw/
久	jw;
獗	jwa
九	jwe
句	jwo
祭	jwu
急	jwv
角	jwz
继	jx/
绞	jx;
缰	jxa
骄	jxe
绢	jxo
绩	jxu
纪	jxv
级	jxz
镜	jy;
韭	jya
锦	jye
冀	jyo
键	jyv
钧	jyz
迦	jz;
架	jza
驾	jzv
矿	ka;
盔	kao
夸	kau
砍	kaz
垦	kbu
恳	kbv
尻	kbz
框	kca
棵	kco
枯	kcu
浍	kd/
渴	kdo
溘	kdu
蔻	ke;
苛	kea
蒯	keu
葵	kev
考	kfa
酷	kfe
聩	kfo
恐	kfv
勘	kfz
珂	kga
琨	kgo
刊	kgu
亏	kgv
廓	kh;
库	kha
颏	khe
况	kho
堃	khu
康	khv
亢	khz
哙	ki/
咳	ki;
跨	kia
喟	kio
啃	kiu
叩	kiv
侩	kj/
阔	kj;
龛	kja
侃	kjo
阚	kjv
抗	kk;
扛	kka
括	kke
扣	kko
拷	kku
揆	kkv
裤	kl;
诓	kla
癸	klu
诳	klz
炕	km;
慷	kn;
空	kna
愧	kne
宽	kno
寇	knu
慨	knv
恪	knz
髋	ko;
眶	koa
颗	koe
髁	koo
瞌	kou
瞰	kov
凯	koz
旷	kr;
昆	kra
魁	kru
暌	krv
轲	ksa
匮	kso
匡	ksu
筷	kt;
筐	kta
篑	kto
靠	ktu
坑	ku;
堪	kua
坤	kuo
壳	kuv
款	kuz
脍	kv/
胯	kva
隗	kve
孔	kvv
馗	kw/
馈	kwo
狂	kwu
纩	kx;
绔	kxa
骒	kxo
卡	ky;
锴	kya
铠	kyo
铐	kyu
龈	kyv
磷	la/
烈	la;
厉	laa
龙	lao
列	lau
碌	lav
励	laz
屡	lb/
逯	lb;
履	lbe
隶	lbo
录	lbu
楼	lc/
麓	lc;
林	lca
柳	lce
楞	lco
棱	lcu
婪	lcv
榴	lcz
粱	ld/
丽	ld;
梁	lda
涝	lde
泪	ldo
滥	ldu
浪	ldv
洛	ldz
苓	le/
莱	le;
莲	lea
莉	lee
萝	leo
蓝	leu
芦	lev
劳	lez
联	lf/
吏	lf;
栗	lfa
剌	lfu
聊	lfv
赖	lfz
玲	lg/
璃	lg;
琳	lga
璐	lgo
琅	lgv
珞	lgz
冷	lh/
凉	lh;
辣	lha
旅	lhe
露	lho
刘	lhu
率	lhv
亮	lhz
喽	li/
啦	lia
唠	lie
吕	lio
喇	liu
踉	liv
另	liz
伦	lj/
俩	lja
领	lje
侣	ljo
例	lju
邻	ljv
仑	ljz
拦	lk/
掠	lk;
拢	lka
捞	lke
揽	lku
律	lkv
撸	lkz
裣	ll/
谅	ll;
戮	lla
良	llo
垒	llu
礼	llv
烂	lm/
粒	lm;
兰	lma
炉	lme
料	lmu
粮	lmv
烙	lmz
怜	ln/
懔	ln;
懒	lna
牢	lne
帘	lno
寥	lnv
懒	lnz
岭	lo/
逻	lo;
蛎	loa
蜡	loe
略	loo
累	lov
罗	loz
晾	lr;
魉	lra
旯	lrz
轮	ls/
辘	ls;
辆	lsa
娌	lso
姥	lsu
辂	lsz
黎	lt/
笼	lta
犁	lte
箩	lto
篮	ltu
乱	ltv
埒	lu/
临	lue
览	luo
脸	lv/
辽	lv;
胧	lva
腊	lve
陆	lvu
陋	lvv
隆	lvz
鳞	lw/
獠	lwa
猎	lwe
留	lwo
鲈	lwu
狼	lwv
馏	lwz
缕	lx/
缭	lxa
骡	lxo
缆	lxu
绿	lxv
络	lxz
龄	ly/
镰	ly;
链	lya
颅	lye
锣	lyo
铑	lyu
卢	lyv
虏	lyz
冇	mao
码	mav
殁	maz
弥	mbz
买	mc;
梅	mce
木	mco
楣	mcv
梦	mcz
灭	md/
沐	mda
漠	mde
漫	mdo
沫	mdu
泌	mdv
藐	me/
茫	me;
茂	mea
摹	mee
莫	meo
蒙	meu
茅	mev
募	mez
醚	mf/
卖	mf;
酶	mfe
酩	mfz
玟	mg;
玫	mge
末	mgo
玛	mgv
麦	mgz
糜	mh/
磨	mha
摩	mhe
庙	mho
靡	mhu
氓	mhv
咪	mi/
嘛	mi;
喵	mie
黾	mio
呒	miu
骂	miv
鸣	miz
闵	mj;
闽	mjo
闷	mjv
摸	mke
扪	mko
抹	mku
拇	mkv
谜	ml/
谋	mla
谋	mle
冥	mlo
矛	mlv
祢	mlz
迷	mm;
煤	mma
貌	mme
米	mmo
迷	mmv
忙	mn;
寞	mne
蜜	mno
密	mnv
眯	mo/
虻	mo;
默	moa
瞒	moe
冒	moo
墨	mou
眠	mov
冕	moz
旻	mr;
盟	mro
昧	mru
曼	mrv
迈	ms;
媒	msa
妙	mse
嫚	mso
妹	msu
媚	msv
娩	msz
牧	mt/
秘	mt;
敏	mte
篾	mto
秒	mtu
毛	mtv
埋	muo
脉	mv;
陌	mva
膜	mve
眉	mvo
勐	mvz
猫	mwe
免	mwo
猛	mwv
勉	mwz
缅	mxa
绵	mxe
缈	mxo
糸	mxu
缪	mxv
镁	my/
锚	mye
锰	myv
铆	myz
耐	naa
奈	nau
碾	nav
尿	nbu
尼	nbz
柠	nc;
楠	ncu
泞	nd;
涅	ndo
淖	ndu
浓	ndv
泥	ndz
蔫	nea
孽	nev
聍	nf;
廿	nfa
颞	nfe
囊	nfu
酿	nfv
辇	nga
弄	nge
瑙	ngv
疟	nha
霓	nhe
凝	nhv
凝	nhz
咛	ni;
囔	nia
喏	nie
呐	nio
喃	niu
闹	nj;
倪	nje
佞	nju
您	njv
捻	nk/
拧	nk;
挠	nka
捏	nko
拈	nku
拟	nkv
农	nl;
诺	nle
讷	nlo
逆	nm;
粘	nmu
恼	nn;
懦	nna
蛲	noa
睨	noe
嬲	noo
囡	nov
男	noz
暖	nr/
曩	nr;
昵	nrv
娘	ns;
嫩	nsa
匿	nse
怒	nsv
努	nsz
牛	ntu
氖	ntz
埝	nu/
赧	nuv
脑	nv;
腻	nva
脓	nvv
鲶	nw/
袅	nw;
鸟	nwa
馁	nwe
鲇	nwu
猱	nwv
纳	nxo
纽	nxv
镊	nya
镍	nye
钠	nyo
钮	nyv
鼐	nzo
乃	nzz
碰	pa/
砰	pa;
丕	paa
硼	pav
匏	paz
辟	pb;
屁	pba
譬	pbo
劈	pbz
攀	pca
朴	pcu
杷	pcv
潘	pd/
沛	pd;
漂	pda
湃	pde
瀑	pdo
澎	pdu
婆	pdv
泼	pdz
萍	pe;
苹	pea
葩	pee
蓬	pez
瓢	pfe
聘	pfo
票	pfu
配	pfv
飘	pfz
耪	pg;
珀	pge
琶	pgv
珮	pgz
烹	ph;
庞	pha
剖	phu
霹	phv
疲	phz
趴	pi/
呯	pi;
啪	pia
啤	pie
喷	piu
噼	piv
跑	piz
凭	pje
仆	pju
僻	pjv
佩	pjz
拼	pk/
批	pka
拍	pke
扑	pku
拚	pkv
抛	pkz
谱	pl/
谝	plv
袍	plz
瓶	pma
叛	pme
贫	pmo
判	pmu
鄱	pmv
炮	pmz
怦	pn;
畔	po/
赔	po;
圃	poa
帕	poe
帔	pov
磐	pqa
爬	pqv
皤	pr/
迫	pr;
牌	pre
魄	prv
姘	ps/
嫔	ps;
嫖	psa
媲	pse
叵	pso
筢	pta
犏	ptv
篷	ptz
坪	pu;
埔	pua
彭	pue
坡	puz
胖	pv/
陪	pv;
脯	pva
脾	pve
膨	pvu
鹏	pvv
鹏	pvz
逄	pw;
匍	pwa
刨	pwu
骈	px/
辔	pxo
裴	py;
铺	pya
颦	pye
钋	pyu
颇	pze
犬	qa;
奇	qaa
牵	qae
戚	qau
砌	qaz
群	qb/
屈	qbv
枪	qc/
棋	qca
桥	qce
樯	qcu
杞	qcv
洽	qd/
泣	qd;
漆	qda
汽	qde
潜	qdo
浅	qdu
沁	qdv
沏	qdz
荃	qe/
茜	qea
擎	qee
苘	qeo
蔷	qeu
茕	qev
茄	qez
欺	qf/
裘	qf;
巧	qfa
乾	qfe
覃	qfo
鞘	qfu
娶	qfv
勤	qfz
琴	qg/
琼	qg;
球	qga
秦	qge
璩	qgu
玘	qgv
痊	qh/
庆	qha
齐	qhe
癯	qho
敲	qhu
